name,website,application_url,application_email,submission_type,stage_focus,industry_focus,region_focus,form_complexity,question_count_range,required_documents,notes
Lightspeed Venture Partners 10,https://lightspeedventurepar.capital,https://lightspeedventurepar.capital/apply,,email,"Seed,Pre-seed","Gaming,Marketplace,B2B SaaS","Europe,Asia",simple,1-5,"pitch_deck,video",
Tiger Global Management 11,https://tigerglobalmanagemen.io,https://tigerglobalmanagemen.io/apply,,other,"Pre-seed,Series B","Gaming,Deep tech,Climate tech","Europe,Asia",comprehensive,21+,"financial_projections,pitch_deck",
Blackstone Growth 10,https://blackstonegrowth10.capital,https://blackstonegrowth10.capital/apply,,email,"Series B,Seed","B2B SaaS,Gaming,Developer tools","North America,Asia",simple,21+,"video,financial_projections",Generated sample data for testing
GV (Google Ventures) 11,https://gvgoogleventures11.capital,https://gvgoogleventures11.capital/apply,,other,"Series B,Seed","Marketplace,Climate tech,E-commerce","Europe,EMEA",comprehensive,21+,"traction_data,pitch_deck",
Vista Equity Partners 12,https://vistaequitypartners1.co,https://vistaequitypartners1.co/apply,apply@vistaequitypartners1.co,email,"Seed,Pre-seed","AI/ML,Climate tech,Fintech","EMEA,Asia",simple,6-10,"financial_projections,pitch_deck",Generated sample data for testing
GV (Google Ventures) 12,https://gvgoogleventures12.io,https://gvgoogleventures12.io/apply,,form,"Series B,Series C","Healthtech,E-commerce,Web3","North America,Asia",comprehensive,21+,"pitch_deck,business_plan",Generated sample data for testing
Index Ventures 9,https://indexventures9.com,https://indexventures9.com/apply,,other,"Series B,Seed","Climate tech,B2B SaaS,Web3","Asia,Europe",simple,21+,"business_plan,financial_projections",
Sequoia Capital 13,https://sequoiacapital13.com,https://sequoiacapital13.com/apply,,form,"Pre-seed,Seed","E-commerce,AI/ML,Web3","Europe,Global",standard,1-5,"financial_projections,pitch_deck",Generated sample data for testing
Intel Capital 9,https://intelcapital9.co,https://intelcapital9.co/apply,,other,"Series C,Seed","Healthtech,AI/ML,E-commerce","Asia,Global",standard,21+,"video,business_plan",
Warburg Pincus 9,https://warburgpincus9.io,https://warburgpincus9.io/apply,,form,"Series B,Series A","Climate tech,E-commerce,Developer tools","Global,North America",standard,1-5,"business_plan,pitch_deck",
Sequoia Capital 14,https://sequoiacapital14.io,https://sequoiacapital14.io/apply,,form,"Seed,Pre-seed","AI/ML,Climate tech,Gaming","Asia,EMEA",simple,21+,"financial_projections,video",Generated sample data for testing
Vista Equity Partners 13,https://vistaequitypartners1.capital,https://vistaequitypartners1.capital/apply,,email,"Series B,Series A","Developer tools,B2B SaaS,AI/ML","EMEA,Global",standard,11-20,"traction_data,video",
Tiger Global Management 12,https://tigerglobalmanagemen.io,https://tigerglobalmanagemen.io/apply,,other,"Series B,Pre-seed","Consumer,Web3,Developer tools","North America,Global",simple,21+,"traction_data,video",
Thoma Bravo 10,https://thomabravo10.vc,https://thomabravo10.vc/apply,apply@thomabravo10.vc,email,"Series B,Pre-seed","B2B SaaS,Fintech,Marketplace","Asia,North America",standard,1-5,"traction_data,financial_projections",
KKR & Co 9,https://kkrco9.com,https://kkrco9.com/apply,,email,"Seed,Series A","Deep tech,B2B SaaS,AI/ML","Europe,Global",comprehensive,11-20,"business_plan,video",Generated sample data for testing
Founders Fund 11,https://foundersfund11.com,https://foundersfund11.com/apply,,email,"Series A,Pre-seed","Gaming,Developer tools,B2B SaaS","EMEA,North America",standard,21+,"pitch_deck,business_plan",
DST Global 9,https://dstglobal9.capital,https://dstglobal9.capital/apply,apply@dstglobal9.capital,form,"Series C,Seed","E-commerce,Marketplace,Healthtech","Global,EMEA",comprehensive,21+,"traction_data,financial_projections",Generated sample data for testing
General Atlantic 12,https://generalatlantic12.vc,https://generalatlantic12.vc/apply,,form,"Series B,Series A","B2B SaaS,Fintech,Developer tools","Asia,Global",simple,21+,"pitch_deck,traction_data",Generated sample data for testing
Index Ventures 10,https://indexventures10.vc,https://indexventures10.vc/apply,apply@indexventures10.vc,email,"Pre-seed,Series A","Fintech,AI/ML,Marketplace","North America,Europe",simple,1-5,"financial_projections,pitch_deck",Generated sample data for testing
DST Global 10,https://dstglobal10.capital,https://dstglobal10.capital/apply,apply@dstglobal10.capital,email,"Series B,Pre-seed","Marketplace,Gaming,B2B SaaS","EMEA,Asia",standard,21+,"traction_data,financial_projections",Generated sample data for testing
Coatue Management 14,https://coatuemanagement14.vc,https://coatuemanagement14.vc/apply,,other,"Series C,Seed","Climate tech,AI/ML,Developer tools","EMEA,North America",standard,1-5,"video,traction_data",Generated sample data for testing
Thoma Bravo 11,https://thomabravo11.co,https://thomabravo11.co/apply,,other,"Series A,Seed","Deep tech,Consumer,E-commerce","North America,Global",simple,11-20,"video,business_plan",Generated sample data for testing
Insight Partners 9,https://insightpartners9.io,https://insightpartners9.io/apply,,form,"Pre-seed,Seed","Gaming,Consumer,Developer tools","North America,Asia",standard,1-5,"video,pitch_deck",
Tiger Global Management 13,https://tigerglobalmanagemen.io,https://tigerglobalmanagemen.io/apply,,email,"Seed,Series A","B2B SaaS,AI/ML,E-commerce","Global,Europe",comprehensive,11-20,"traction_data,video",Generated sample data for testing
First Round Capital 9,https://firstroundcapital9.com,https://firstroundcapital9.com/apply,apply@firstroundcapital9.com,form,"Seed,Pre-seed","E-commerce,Consumer,AI/ML","Global,Asia",comprehensive,6-10,"financial_projections,video",
Accel Partners 10,https://accelpartners10.vc,https://accelpartners10.vc/apply,apply@accelpartners10.vc,form,"Series A,Series C","Gaming,Web3,B2B SaaS","North America,Asia",comprehensive,21+,"financial_projections,pitch_deck",
Sequoia Capital 15,https://sequoiacapital15.capital,https://sequoiacapital15.capital/apply,apply@sequoiacapital15.capital,form,"Seed,Pre-seed","Consumer,Web3,Climate tech","North America,Europe",comprehensive,11-20,"pitch_deck,video",
Coatue Management 15,https://coatuemanagement15.io,https://coatuemanagement15.io/apply,apply@coatuemanagement15.io,email,"Pre-seed,Series B","Deep tech,Fintech,Gaming","EMEA,Asia",standard,21+,"video,business_plan",Generated sample data for testing
Intel Capital 10,https://intelcapital10.capital,https://intelcapital10.capital/apply,,other,"Pre-seed,Series B","B2B SaaS,AI/ML,Developer tools","Europe,Asia",simple,1-5,"video,financial_projections",Generated sample data for testing
Insight Partners 10,https://insightpartners10.com,https://insightpartners10.com/apply,apply@insightpartners10.com,other,"Series A,Pre-seed","Climate tech,Consumer,Web3","Europe,Global",simple,21+,"pitch_deck,traction_data",Generated sample data for testing
New Enterprise Associates 12,https://newenterpriseassocia.co,https://newenterpriseassocia.co/apply,apply@newenterpriseassocia.co,other,"Pre-seed,Series B","Consumer,Climate tech,Developer tools","EMEA,North America",comprehensive,11-20,"video,pitch_deck",Generated sample data for testing
Sequoia Capital 16,https://sequoiacapital16.co,https://sequoiacapital16.co/apply,apply@sequoiacapital16.co,other,"Series A,Series B","Deep tech,B2B SaaS,Healthtech","Asia,EMEA",comprehensive,21+,"business_plan,video",Generated sample data for testing
Warburg Pincus 10,https://warburgpincus10.co,https://warburgpincus10.co/apply,,other,"Pre-seed,Seed","Gaming,Consumer,Climate tech","Global,Europe",standard,1-5,"financial_projections,pitch_deck",Generated sample data for testing
Warburg Pincus 11,https://warburgpincus11.co,https://warburgpincus11.co/apply,,form,"Pre-seed,Seed","B2B SaaS,Climate tech,Fintech","Europe,Asia",standard,6-10,"financial_projections,video",Generated sample data for testing
Lightspeed Venture Partners 11,https://lightspeedventurepar.co,https://lightspeedventurepar.co/apply,,other,"Seed,Pre-seed","B2B SaaS,Fintech,Developer tools","Asia,Europe",standard,21+,"business_plan,pitch_deck",
Thoma Bravo 12,https://thomabravo12.com,https://thomabravo12.com/apply,apply@thomabravo12.com,other,"Series B,Seed","B2B SaaS,Consumer,Healthtech","Global,Europe",standard,6-10,"pitch_deck,video",Generated sample data for testing
TPG Growth 10,https://tpggrowth10.capital,https://tpggrowth10.capital/apply,apply@tpggrowth10.capital,email,"Series C,Pre-seed","B2B SaaS,E-commerce,AI/ML","North America,Asia",comprehensive,6-10,"business_plan,pitch_deck",Generated sample data for testing
Vista Equity Partners 14,https://vistaequitypartners1.capital,https://vistaequitypartners1.capital/apply,apply@vistaequitypartners1.capital,form,"Seed,Series B","Web3,B2B SaaS,E-commerce","North America,Europe",simple,1-5,"pitch_deck,traction_data",Generated sample data for testing
General Catalyst 10,https://generalcatalyst10.co,https://generalcatalyst10.co/apply,apply@generalcatalyst10.co,form,"Series B,Seed","Healthtech,Deep tech,Developer tools","Europe,North America",comprehensive,1-5,"pitch_deck,video",Generated sample data for testing
SoftBank Vision Fund 11,https://softbankvisionfund11.capital,https://softbankvisionfund11.capital/apply,,email,"Pre-seed,Series C","E-commerce,Marketplace,Deep tech","North America,Europe",standard,21+,"pitch_deck,business_plan",
Lightspeed Venture Partners 12,https://lightspeedventurepar.co,https://lightspeedventurepar.co/apply,,form,"Series C,Pre-seed","AI/ML,E-commerce,Climate tech","North America,Asia",standard,6-10,"traction_data,pitch_deck",Generated sample data for testing
KKR & Co 10,https://kkrco10.com,https://kkrco10.com/apply,,form,"Series A,Series C","Marketplace,Gaming,Developer tools","Europe,Global",standard,1-5,"pitch_deck,traction_data",
General Catalyst 11,https://generalcatalyst11.co,https://generalcatalyst11.co/apply,,form,"Pre-seed,Seed","Climate tech,Healthtech,B2B SaaS","North America,Europe",comprehensive,1-5,"pitch_deck,traction_data",
Warburg Pincus 12,https://warburgpincus12.co,https://warburgpincus12.co/apply,,other,"Seed,Series B","Gaming,Developer tools,Deep tech","Asia,North America",simple,11-20,"pitch_deck,business_plan",
GV (Google Ventures) 13,https://gvgoogleventures13.vc,https://gvgoogleventures13.vc/apply,,form,"Series B,Series A","AI/ML,Fintech,Gaming","North America,Global",comprehensive,6-10,"business_plan,video",Generated sample data for testing
DST Global 11,https://dstglobal11.vc,https://dstglobal11.vc/apply,apply@dstglobal11.vc,email,"Series B,Pre-seed","AI/ML,Gaming,Marketplace","Global,North America",standard,21+,"pitch_deck,traction_data",Generated sample data for testing
New Enterprise Associates 13,https://newenterpriseassocia.io,https://newenterpriseassocia.io/apply,,form,"Pre-seed,Seed","Gaming,B2B SaaS,Consumer","Asia,EMEA",comprehensive,11-20,"business_plan,financial_projections",Generated sample data for testing
Warburg Pincus 13,https://warburgpincus13.co,https://warburgpincus13.co/apply,apply@warburgpincus13.co,other,"Pre-seed,Series C","Gaming,Web3,AI/ML","Asia,North America",simple,1-5,"business_plan,financial_projections",Generated sample data for testing
New Enterprise Associates 14,https://newenterpriseassocia.io,https://newenterpriseassocia.io/apply,,other,"Series A,Series B","Fintech,Climate tech,E-commerce","Europe,Global",comprehensive,6-10,"pitch_deck,video",
Tiger Global Management 14,https://tigerglobalmanagemen.co,https://tigerglobalmanagemen.co/apply,apply@tigerglobalmanagemen.co,other,"Series A,Pre-seed","B2B SaaS,Fintech,E-commerce","Europe,Asia",standard,11-20,"video,financial_projections",Generated sample data for testing
Coatue Management 16,https://coatuemanagement16.vc,https://coatuemanagement16.vc/apply,apply@coatuemanagement16.vc,form,"Series B,Seed","Web3,Fintech,B2B SaaS","Global,North America",comprehensive,21+,"business_plan,financial_projections",Generated sample data for testing
Advent International 14,https://adventinternational1.capital,https://adventinternational1.capital/apply,,form,"Series A,Series C","Web3,Climate tech,B2B SaaS","North America,Europe",comprehensive,21+,"business_plan,pitch_deck",Generated sample data for testing
Insight Partners 11,https://insightpartners11.co,https://insightpartners11.co/apply,apply@insightpartners11.co,other,"Pre-seed,Series A","AI/ML,Healthtech,Marketplace","Global,North America",comprehensive,1-5,"video,business_plan",
Salesforce Ventures 10,https://salesforceventures10.vc,https://salesforceventures10.vc/apply,apply@salesforceventures10.vc,form,"Pre-seed,Series C","Developer tools,B2B SaaS,Fintech","EMEA,Asia",simple,11-20,"financial_projections,pitch_deck",
DST Global 12,https://dstglobal12.capital,https://dstglobal12.capital/apply,apply@dstglobal12.capital,form,"Series B,Seed","B2B SaaS,Consumer,Web3","Europe,North America",comprehensive,21+,"financial_projections,pitch_deck",
TPG Growth 11,https://tpggrowth11.io,https://tpggrowth11.io/apply,apply@tpggrowth11.io,form,"Seed,Pre-seed","Deep tech,AI/ML,Consumer","North America,Europe",standard,11-20,"video,business_plan",Generated sample data for testing
DST Global 13,https://dstglobal13.vc,https://dstglobal13.vc/apply,apply@dstglobal13.vc,email,"Pre-seed,Seed","AI/ML,E-commerce,Developer tools","North America,Europe",comprehensive,1-5,"pitch_deck,business_plan",
Accel Partners 11,https://accelpartners11.com,https://accelpartners11.com/apply,,other,"Seed,Series C","E-commerce,Developer tools,B2B SaaS","North America,Europe",simple,11-20,"traction_data,business_plan",
Founders Fund 12,https://foundersfund12.capital,https://foundersfund12.capital/apply,,email,"Series B,Pre-seed","Deep tech,AI/ML,B2B SaaS","Global,Europe",standard,11-20,"business_plan,financial_projections",
SoftBank Vision Fund 12,https://softbankvisionfund12.co,https://softbankvisionfund12.co/apply,apply@softbankvisionfund12.co,form,"Seed,Series B","B2B SaaS,Deep tech,Gaming","EMEA,North America",comprehensive,21+,"pitch_deck,business_plan",Generated sample data for testing
Accel Partners 12,https://accelpartners12.vc,https://accelpartners12.vc/apply,apply@accelpartners12.vc,other,"Series B,Pre-seed","B2B SaaS,Fintech,Climate tech","Global,Asia",comprehensive,11-20,"video,pitch_deck",
Accel Partners 13,https://accelpartners13.vc,https://accelpartners13.vc/apply,apply@accelpartners13.vc,other,"Seed,Pre-seed","B2B SaaS,Healthtech,E-commerce","North America,EMEA",comprehensive,21+,"pitch_deck,video",Generated sample data for testing
Greylock Partners 11,https://greylockpartners11.capital,https://greylockpartners11.capital/apply,apply@greylockpartners11.capital,form,"Series A,Series B","Consumer,E-commerce,B2B SaaS","North America,Global",simple,6-10,"financial_projections,traction_data",
Warburg Pincus 14,https://warburgpincus14.co,https://warburgpincus14.co/apply,,form,"Series A,Pre-seed","B2B SaaS,Web3,Climate tech","Global,North America",comprehensive,6-10,"video,pitch_deck",
Accel Partners 14,https://accelpartners14.vc,https://accelpartners14.vc/apply,apply@accelpartners14.vc,other,"Series A,Series C","E-commerce,Marketplace,Deep tech","Asia,EMEA",comprehensive,11-20,"pitch_deck,video",
New Enterprise Associates 15,https://newenterpriseassocia.capital,https://newenterpriseassocia.capital/apply,,other,"Pre-seed,Series B","Climate tech,B2B SaaS,Marketplace","North America,Europe",comprehensive,21+,"video,pitch_deck",
Coatue Management 17,https://coatuemanagement17.vc,https://coatuemanagement17.vc/apply,,email,"Pre-seed,Seed","B2B SaaS,Marketplace,AI/ML","North America,Global",simple,21+,"video,business_plan",
Kleiner Perkins 11,https://kleinerperkins11.vc,https://kleinerperkins11.vc/apply,apply@kleinerperkins11.vc,other,"Series A,Pre-seed","Web3,AI/ML,Marketplace","North America,Global",standard,1-5,"video,business_plan",Generated sample data for testing
General Catalyst 12,https://generalcatalyst12.com,https://generalcatalyst12.com/apply,apply@generalcatalyst12.com,form,"Seed,Series C","Marketplace,Web3,AI/ML","Global,North America",comprehensive,21+,"traction_data,video",Generated sample data for testing
Benchmark Capital 11,https://benchmarkcapital11.capital,https://benchmarkcapital11.capital/apply,,form,"Series B,Seed","B2B SaaS,Web3,E-commerce","Asia,Europe",simple,11-20,"business_plan,traction_data",
Vista Equity Partners 15,https://vistaequitypartners1.co,https://vistaequitypartners1.co/apply,apply@vistaequitypartners1.co,other,"Pre-seed,Seed","AI/ML,Web3,B2B SaaS","North America,Global",simple,6-10,"business_plan,pitch_deck",
Accel Partners 15,https://accelpartners15.com,https://accelpartners15.com/apply,apply@accelpartners15.com,other,"Pre-seed,Series C","Fintech,B2B SaaS,Developer tools","Europe,EMEA",standard,6-10,"business_plan,pitch_deck",
New Enterprise Associates 16,https://newenterpriseassocia.io,https://newenterpriseassocia.io/apply,apply@newenterpriseassocia.io,form,"Series C,Series B","Climate tech,Developer tools,E-commerce","Europe,Global",comprehensive,1-5,"business_plan,video",
Salesforce Ventures 11,https://salesforceventures11.io,https://salesforceventures11.io/apply,,form,"Series C,Pre-seed","Consumer,AI/ML,E-commerce","Europe,Global",simple,11-20,"financial_projections,pitch_deck",Generated sample data for testing
New Enterprise Associates 17,https://newenterpriseassocia.co,https://newenterpriseassocia.co/apply,apply@newenterpriseassocia.co,other,"Pre-seed,Series B","E-commerce,B2B SaaS,Fintech","Europe,Global",simple,1-5,"pitch_deck,video",
Index Ventures 11,https://indexventures11.com,https://indexventures11.com/apply,,email,"Series C,Series A","AI/ML,Marketplace,B2B SaaS","North America,Asia",simple,6-10,"financial_projections,business_plan",Generated sample data for testing
DST Global 14,https://dstglobal14.vc,https://dstglobal14.vc/apply,apply@dstglobal14.vc,email,"Seed,Series A","Marketplace,Deep tech,AI/ML","Global,North America",simple,1-5,"video,business_plan",Generated sample data for testing
Bessemer Venture Partners 12,https://bessemerventurepartn.co,https://bessemerventurepartn.co/apply,apply@bessemerventurepartn.co,email,"Series B,Pre-seed","Healthtech,Developer tools,Climate tech","Global,North America",comprehensive,1-5,"traction_data,pitch_deck",Generated sample data for testing
Intel Capital 11,https://intelcapital11.capital,https://intelcapital11.capital/apply,,form,"Series B,Series C","Gaming,Fintech,Consumer","Europe,EMEA",standard,21+,"financial_projections,business_plan",Generated sample data for testing
Blackstone Growth 11,https://blackstonegrowth11.co,https://blackstonegrowth11.co/apply,,email,"Seed,Pre-seed","Consumer,Climate tech,Gaming","Asia,North America",simple,1-5,"financial_projections,pitch_deck",Generated sample data for testing
Sequoia Capital 17,https://sequoiacapital17.capital,https://sequoiacapital17.capital/apply,,email,"Seed,Series B","Marketplace,B2B SaaS,Web3","Europe,North America",simple,21+,"traction_data,financial_projections",
GV (Google Ventures) 14,https://gvgoogleventures14.com,https://gvgoogleventures14.com/apply,apply@gvgoogleventures14.com,form,"Series A,Seed","E-commerce,Healthtech,Deep tech","North America,Europe",comprehensive,1-5,"video,pitch_deck",
SoftBank Vision Fund 13,https://softbankvisionfund13.vc,https://softbankvisionfund13.vc/apply,apply@softbankvisionfund13.vc,other,"Pre-seed,Seed","Fintech,Gaming,B2B SaaS","Asia,Global",simple,6-10,"video,pitch_deck",Generated sample data for testing
General Atlantic 13,https://generalatlantic13.vc,https://generalatlantic13.vc/apply,apply@generalatlantic13.vc,email,"Pre-seed,Series C","Gaming,AI/ML,B2B SaaS","Global,North America",standard,21+,"video,traction_data",Generated sample data for testing
Tiger Global Management 15,https://tigerglobalmanagemen.io,https://tigerglobalmanagemen.io/apply,,other,"Pre-seed,Seed","Gaming,Web3,B2B SaaS","North America,Global",simple,11-20,"traction_data,business_plan",
Union Square Ventures 11,https://unionsquareventures1.capital,https://unionsquareventures1.capital/apply,apply@unionsquareventures1.capital,other,"Pre-seed,Series B","Deep tech,Climate tech,Consumer","Asia,EMEA",simple,11-20,"traction_data,financial_projections",
Benchmark Capital 12,https://benchmarkcapital12.vc,https://benchmarkcapital12.vc/apply,,form,"Seed,Series B","Consumer,Climate tech,Gaming","North America,Asia",comprehensive,21+,"video,pitch_deck",
DST Global 15,https://dstglobal15.capital,https://dstglobal15.capital/apply,apply@dstglobal15.capital,other,"Seed,Series C","Consumer,B2B SaaS,AI/ML","North America,Global",simple,11-20,"pitch_deck,business_plan",
Kleiner Perkins 12,https://kleinerperkins12.vc,https://kleinerperkins12.vc/apply,apply@kleinerperkins12.vc,form,"Pre-seed,Seed","Consumer,B2B SaaS,AI/ML","Europe,Asia",standard,11-20,"video,pitch_deck",Generated sample data for testing
Founders Fund 13,https://foundersfund13.capital,https://foundersfund13.capital/apply,,form,"Series C,Series B","B2B SaaS,Climate tech,E-commerce","Global,Europe",standard,6-10,"pitch_deck,video",Generated sample data for testing
KKR & Co 12,https://kkrco12.co,https://kkrco12.co/apply,,email,"Series A,Seed","Climate tech,Deep tech,Web3","Asia,North America",comprehensive,21+,"business_plan,pitch_deck",Generated sample data for testing
Lightspeed Venture Partners 13,https://lightspeedventurepar.co,https://lightspeedventurepar.co/apply,,other,"Series C,Pre-seed","Climate tech,Healthtech,AI/ML","North America,Global",standard,1-5,"financial_projections,video",
New Enterprise Associates 18,https://newenterpriseassocia.io,https://newenterpriseassocia.io/apply,,email,"Seed,Series A","Climate tech,Developer tools,Web3","Europe,EMEA",simple,1-5,"traction_data,pitch_deck",Generated sample data for testing
TPG Growth 12,https://tpggrowth12.co,https://tpggrowth12.co/apply,apply@tpggrowth12.co,form,"Series A,Pre-seed","B2B SaaS,Consumer,Fintech","EMEA,Asia",comprehensive,21+,"financial_projections,traction_data",Generated sample data for testing
Insight Partners 12,https://insightpartners12.io,https://insightpartners12.io/apply,,form,"Series C,Series A","B2B SaaS,Fintech,Deep tech","Asia,Global",simple,1-5,"pitch_deck,video",
Lightspeed Venture Partners 14,https://lightspeedventurepar.vc,https://lightspeedventurepar.vc/apply,apply@lightspeedventurepar.vc,other,"Series B,Seed","Healthtech,B2B SaaS,Consumer","North America,Global",comprehensive,21+,"financial_projections,traction_data",Generated sample data for testing
Benchmark Capital 13,https://benchmarkcapital13.capital,https://benchmarkcapital13.capital/apply,,email,"Pre-seed,Seed","Developer tools,Healthtech,B2B SaaS","EMEA,North America",standard,21+,"business_plan,pitch_deck",
Coatue Management 18,https://coatuemanagement18.com,https://coatuemanagement18.com/apply,apply@coatuemanagement18.com,email,"Series A,Pre-seed","Fintech,Developer tools,AI/ML","Europe,Asia",simple,1-5,"financial_projections,business_plan",Generated sample data for testing
Insight Partners 13,https://insightpartners13.co,https://insightpartners13.co/apply,apply@insightpartners13.co,form,"Pre-seed,Series A","Deep tech,Gaming,Consumer","Asia,Global",standard,6-10,"video,business_plan",
Insight Partners 14,https://insightpartners14.com,https://insightpartners14.com/apply,apply@insightpartners14.com,form,"Pre-seed,Series C","E-commerce,Developer tools,Deep tech","Global,Europe",comprehensive,6-10,"pitch_deck,video",
Silver Lake Partners 12,https://silverlakepartners12.io,https://silverlakepartners12.io/apply,apply@silverlakepartners12.io,email,"Pre-seed,Series A","Marketplace,Healthtech,Developer tools","North America,EMEA",simple,21+,"traction_data,financial_projections",Generated sample data for testing
General Catalyst 13,https://generalcatalyst13.capital,https://generalcatalyst13.capital/apply,,other,"Seed,Series C","B2B SaaS,AI/ML,Deep tech","Global,Europe",standard,21+,"video,traction_data",
Silver Lake Partners 13,https://silverlakepartners13.capital,https://silverlakepartners13.capital/apply,,email,"Series B,Pre-seed","B2B SaaS,AI/ML,Healthtech","Global,Europe",simple,1-5,"financial_projections,business_plan",Generated sample data for testing
GV (Google Ventures) 15,https://gvgoogleventures15.capital,https://gvgoogleventures15.capital/apply,,form,"Seed,Pre-seed","E-commerce,Consumer,Healthtech","North America,Asia",simple,21+,"video,traction_data",
Sequoia Capital 18,https://sequoiacapital18.capital,https://sequoiacapital18.capital/apply,,email,"Seed,Pre-seed","Consumer,Web3,B2B SaaS","Asia,Europe",simple,21+,"business_plan,video",
Intel Capital 12,https://intelcapital12.io,https://intelcapital12.io/apply,,form,"Series B,Seed","B2B SaaS,Gaming,Developer tools","Asia,Global",comprehensive,6-10,"video,pitch_deck",
SoftBank Vision Fund 14,https://softbankvisionfund14.vc,https://softbankvisionfund14.vc/apply,,form,"Series A,Pre-seed","Climate tech,E-commerce,Web3","Global,EMEA",simple,1-5,"pitch_deck,financial_projections",Generated sample data for testing
Sequoia Capital 19,https://sequoiacapital19.vc,https://sequoiacapital19.vc/apply,apply@sequoiacapital19.vc,form,"Seed,Series A","Climate tech,Deep tech,Web3","Asia,North America",standard,21+,"traction_data,financial_projections",Generated sample data for testing
First Round Capital 12,https://firstroundcapital12.vc,https://firstroundcapital12.vc/apply,apply@firstroundcapital12.vc,other,"Pre-seed,Seed","Developer tools,E-commerce,AI/ML","Europe,North America",simple,6-10,"business_plan,financial_projections",Generated sample data for testing
Tiger Global Management 16,https://tigerglobalmanagemen.com,https://tigerglobalmanagemen.com/apply,apply@tigerglobalmanagemen.com,form,"Seed,Pre-seed","Web3,Fintech,Climate tech","Asia,Europe",standard,11-20,"financial_projections,video",
Sequoia Capital 20,https://sequoiacapital20.com,https://sequoiacapital20.com/apply,apply@sequoiacapital20.com,other,"Series B,Series A","B2B SaaS,Fintech,Climate tech","Asia,Global",comprehensive,1-5,"video,traction_data",Generated sample data for testing
New Enterprise Associates 19,https://newenterpriseassocia.io,https://newenterpriseassocia.io/apply,,email,"Seed,Series B","B2B SaaS,Developer tools,Consumer","Global,North America",comprehensive,21+,"video,pitch_deck",
Bessemer Venture Partners 13,https://bessemerventurepartn.capital,https://bessemerventurepartn.capital/apply,apply@bessemerventurepartn.capital,email,"Series B,Pre-seed","B2B SaaS,AI/ML,Marketplace","Asia,Europe",standard,11-20,"pitch_deck,business_plan",
Bessemer Venture Partners 14,https://bessemerventurepartn.co,https://bessemerventurepartn.co/apply,apply@bessemerventurepartn.co,email,"Series B,Seed","Fintech,B2B SaaS,Developer tools","Europe,North America",simple,11-20,"video,business_plan",Generated sample data for testing
Accel Partners 16,https://accelpartners16.com,https://accelpartners16.com/apply,apply@accelpartners16.com,form,"Series B,Series A","Climate tech,B2B SaaS,Gaming","Europe,EMEA",standard,1-5,"video,pitch_deck",
Warburg Pincus 15,https://warburgpincus15.vc,https://warburgpincus15.vc/apply,apply@warburgpincus15.vc,email,"Seed,Series C","Gaming,B2B SaaS,Fintech","Europe,Asia",standard,11-20,"video,business_plan",Generated sample data for testing
Sequoia Capital 21,https://sequoiacapital21.com,https://sequoiacapital21.com/apply,,form,"Seed,Series A","Gaming,B2B SaaS,E-commerce","EMEA,Global",standard,6-10,"video,pitch_deck",
Warburg Pincus 16,https://warburgpincus16.com,https://warburgpincus16.com/apply,apply@warburgpincus16.com,other,"Series A,Seed","E-commerce,B2B SaaS,Web3","Europe,North America",standard,1-5,"financial_projections,business_plan",Generated sample data for testing
Bessemer Venture Partners 15,https://bessemerventurepartn.vc,https://bessemerventurepartn.vc/apply,apply@bessemerventurepartn.vc,form,"Pre-seed,Series C","Developer tools,Gaming,Consumer","EMEA,North America",standard,11-20,"traction_data,business_plan",
General Atlantic 14,https://generalatlantic14.io,https://generalatlantic14.io/apply,,other,"Pre-seed,Seed","Deep tech,B2B SaaS,Consumer","Asia,Europe",comprehensive,21+,"financial_projections,video",
Bessemer Venture Partners 16,https://bessemerventurepartn.vc,https://bessemerventurepartn.vc/apply,apply@bessemerventurepartn.vc,form,"Series A,Seed","Fintech,B2B SaaS,Healthtech","North America,Global",comprehensive,6-10,"pitch_deck,business_plan",Generated sample data for testing
DST Global 16,https://dstglobal16.com,https://dstglobal16.com/apply,,email,"Series B,Seed","B2B SaaS,Consumer,Gaming","North America,Europe",standard,11-20,"business_plan,traction_data",Generated sample data for testing
Andreessen Horowitz 15,https://andreessenhorowitz15.io,https://andreessenhorowitz15.io/apply,apply@andreessenhorowitz15.io,email,"Pre-seed,Seed","Fintech,Marketplace,Healthtech","Asia,Europe",simple,11-20,"video,business_plan",
Lightspeed Venture Partners 15,https://lightspeedventurepar.com,https://lightspeedventurepar.com/apply,,form,"Series C,Series B","Fintech,AI/ML,Web3","North America,Global",simple,6-10,"video,pitch_deck",
Kleiner Perkins 13,https://kleinerperkins13.co,https://kleinerperkins13.co/apply,,email,"Series C,Series B","E-commerce,Developer tools,Web3","Asia,North America",simple,6-10,"financial_projections,pitch_deck",Generated sample data for testing
GV (Google Ventures) 16,https://gvgoogleventures16.capital,https://gvgoogleventures16.capital/apply,apply@gvgoogleventures16.capital,form,"Pre-seed,Series C","AI/ML,Fintech,Climate tech","North America,Asia",standard,1-5,"traction_data,video",Generated sample data for testing
Vista Equity Partners 16,https://vistaequitypartners1.io,https://vistaequitypartners1.io/apply,apply@vistaequitypartners1.io,form,"Seed,Series B","B2B SaaS,Fintech,Healthtech","EMEA,North America",simple,6-10,"business_plan,financial_projections",Generated sample data for testing
